"","contextID","targetname","competitorName","notCompetitorName","adjQuestion","featureQuestion","targetsFeature","MeanRT"
"1","bgg_bpg_bpb","bottle_glass_green","bottle_plastic_green","bottle_plastic_blue","glass","material",1,3564.14285714286
"2","bgg_bpg_bpb","bottle_glass_green","bottle_plastic_green","bottle_plastic_blue","green","color",1,2329.78481012658
"3","bgg_bpg_bpco","bottle_glass_green","bottle_plastic_green","bottle_plastic_clear_original","glass","material",1,3277.17391304348
"4","bgg_bpg_bpco","bottle_glass_green","bottle_plastic_green","bottle_plastic_clear_original","green","color",1,2322.75925925926
"5","blg_blb_brb","boot_leather_green","boot_leather_brown","boot_rubber_brown","green","color",1,2316.4375
"6","blg_blb_brb","boot_leather_green","boot_leather_brown","boot_rubber_brown","leather","material",1,3219.22580645161
"7","blg_blbo_brbo","boot_leather_green","boot_leather_black_original","boot_rubber_black_original","green","color",1,2356.68656716418
"8","blg_blbo_brbo","boot_leather_green","boot_leather_black_original","boot_rubber_black_original","leather","material",1,3160.78787878788
"9","bpg_bgg_bgb","bottle_plastic_green","bottle_glass_green","bottle_glass_blue","green","color",1,2247.0612244898
"10","bpg_bgg_bgb","bottle_plastic_green","bottle_glass_green","bottle_glass_blue","plastic","material",1,2999.16417910448
"11","bpg_bgg_bgco","bottle_plastic_green","bottle_glass_green","bottle_glass_clear_original","green","color",1,2316.89705882353
"12","bpg_bgg_bgco","bottle_plastic_green","bottle_glass_green","bottle_glass_clear_original","plastic","material",1,3190.14492753623
"13","cmg_cmp_cpp","chair_metal_green","chair_metal_purple","chair_plastic_purple","green","color",1,2304.23076923077
"14","cmg_cmp_cpp","chair_metal_green","chair_metal_purple","chair_plastic_purple","metal","material",1,3318.60416666667
"15","cmg_cmp_cwp","chair_metal_green","chair_metal_purple","chair_wood_purple","green","color",1,2178.84285714286
"16","cmg_cmp_cwp","chair_metal_green","chair_metal_purple","chair_wood_purple","metal","material",1,2860.66666666667
"17","cmp_cmg_cpg","chair_metal_purple","chair_metal_green","chair_plastic_green","metal","material",1,3098.53968253968
"18","cmp_cmg_cpg","chair_metal_purple","chair_metal_green","chair_plastic_green","purple","color",1,2330.45679012346
"19","cmp_cmg_cwg","chair_metal_purple","chair_metal_green","chair_wood_green","metal","material",1,2811.88157894737
"20","cmp_cmg_cwg","chair_metal_purple","chair_metal_green","chair_wood_green","purple","color",1,2503.18518518519
"21","cpg_cmg_cmb","cup_plastic_green","cup_metal_green","cup_metal_blue","green","color",1,2389.88311688312
"22","cpg_cmg_cmb","cup_plastic_green","cup_metal_green","cup_metal_blue","plastic","material",1,2967.53086419753
"23","cpg_cmg_cmso","cup_plastic_green","cup_metal_green","cup_metal_silver_original","green","color",1,2343.28947368421
"24","cpg_cmg_cmso","cup_plastic_green","cup_metal_green","cup_metal_silver_original","plastic","material",1,2996.92156862745
"25","jdp_jlp_jlbo","jacket_denim_purple","jacket_leather_purple","jacket_leather_black_original","denim","material",1,3116.67391304348
"26","jdp_jlp_jlbo","jacket_denim_purple","jacket_leather_purple","jacket_leather_black_original","purple","color",1,2474.21428571429
"27","jdp_jlp_jlg","jacket_denim_purple","jacket_leather_purple","jacket_leather_green","denim","material",1,3323.49253731343
"28","jdp_jlp_jlg","jacket_denim_purple","jacket_leather_purple","jacket_leather_green","purple","color",1,2445.64473684211
"29","pmb_pgb_pgco","pitcher_metal_blue","pitcher_glass_blue","pitcher_glass_clear_original","blue","color",1,2393.98666666667
"30","pmb_pgb_pgco","pitcher_metal_blue","pitcher_glass_blue","pitcher_glass_clear_original","metal","material",1,2921.13333333333
"31","pmb_pgb_pgg","pitcher_metal_blue","pitcher_glass_blue","pitcher_glass_green","blue","color",1,2461.13461538462
"32","pmb_pgb_pgg","pitcher_metal_blue","pitcher_glass_blue","pitcher_glass_green","metal","material",1,2829.25333333333
"33","pmb_ppb_ppg","pitcher_metal_blue","pitcher_plastic_blue","pitcher_plastic_green","blue","color",1,2342.89583333333
"34","pmb_ppb_ppg","pitcher_metal_blue","pitcher_plastic_blue","pitcher_plastic_green","metal","material",1,2839.18181818182
"35","pmb_ppb_ppwo","pitcher_metal_blue","pitcher_plastic_blue","pitcher_plastic_white_original","blue","color",1,2368.44776119403
"36","pmb_ppb_ppwo","pitcher_metal_blue","pitcher_plastic_blue","pitcher_plastic_white_original","metal","material",1,2776.04
"37","ppb_ppbo_ppg","plate_paper_blue","plate_plastic_blue_original","plate_plastic_green","blue","color",1,2334.4875
"38","ppb_ppbo_ppg","plate_paper_blue","plate_plastic_blue_original","plate_plastic_green","paper","material",1,3499.62903225806
"39","ppb_ppbo_ppp","plate_paper_blue","plate_plastic_blue_original","plate_plastic_pink","blue","color",1,2228.21794871795
"40","ppb_ppbo_ppp","plate_paper_blue","plate_plastic_blue_original","plate_plastic_pink","paper","material",1,3512.95238095238
"41","ppb_ppg_ppg","plate_paper_blue","plate_paper_green","plate_plastic_green","blue","color",1,2435.78846153846
"42","ppb_ppg_ppg","plate_paper_blue","plate_paper_green","plate_plastic_green","paper","material",1,3368.1
"43","ppbo_ppb_ppg","plate_plastic_blue_original","plate_paper_blue","plate_paper_green","blue","color",1,2228.85507246377
"44","ppbo_ppb_ppg","plate_plastic_blue_original","plate_paper_blue","plate_paper_green","plastic","material",1,3493.75862068966
"45","ppbo_ppb_ppwo","plate_plastic_blue_original","plate_paper_blue","plate_paper_white_original","blue","color",1,2227.22222222222
"46","ppbo_ppb_ppwo","plate_plastic_blue_original","plate_paper_blue","plate_paper_white_original","plastic","material",1,3623.92452830189
"47","swg_swb_smb","spoon_wood_green","spoon_wood_blue","spoon_metal_blue","green","color",1,2561.58333333333
"48","swg_swb_smb","spoon_wood_green","spoon_wood_blue","spoon_metal_blue","wooden","material",1,2920
"49","swg_swb_spb","spoon_wood_green","spoon_wood_blue","spoon_plastic_blue","green","color",1,2486.11428571429
"50","swg_swb_spb","spoon_wood_green","spoon_wood_blue","spoon_plastic_blue","wooden","material",1,3002.83582089552
"51","tmb_tmg_twg","table_metal_blue","table_metal_green","table_wood_green","blue","color",1,2312
"52","tmb_tmg_twg","table_metal_blue","table_metal_green","table_wood_green","metal","material",1,2912.40789473684
"53","tmb_twb_twbo","table_metal_blue","table_wood_blue","table_wood_brown_original","blue","color",1,2359.72151898734
"54","tmb_twb_twbo","table_metal_blue","table_wood_blue","table_wood_brown_original","metal","material",1,2745.48
"55","tmb_twb_twg","table_metal_blue","table_wood_blue","table_wood_green","blue","color",1,2364.94117647059
"56","tmb_twb_twg","table_metal_blue","table_wood_blue","table_wood_green","metal","material",1,2928.84
"57","tmg_tmb_twb","table_metal_green","table_metal_blue","table_wood_blue","green","color",1,2355.4358974359
"58","tmg_tmb_twb","table_metal_green","table_metal_blue","table_wood_blue","metal","material",1,2967.42
"59","tmso_tmb_twb","table_metal_silver_original","table_metal_blue","table_wood_blue","metal","material",1,2880.10416666667
"60","tmso_tmb_twb","table_metal_silver_original","table_metal_blue","table_wood_blue","silver","color",1,2491.09375
"61","tmso_tmg_twg","table_metal_silver_original","table_metal_green","table_wood_green","metal","material",1,2885.55882352941
"62","tmso_tmg_twg","table_metal_silver_original","table_metal_green","table_wood_green","silver","color",1,2333.96153846154
