workerid,proliferate.condition,error
1275,list1,
1483,list1,
1396,list1,
1423,list1,
1231,list1,
1157,list1,
1484,list1,
1513,list1,
1454,list1,
1292,list1,
1474,list1,
1284,list1,
1193,list1,
1147,list1,
1201,list1,
1415,list1,
1172,list1,
1301,list1,
1139,list1,
1342,list1,
1521,list1,
1309,list1,
1538,list1,
1317,list1,
1324,list1,
1499,list1,
1379,list1,
1217,list1,
1225,list1,
1404,list1,
1333,list1,
1132,list1,
1168,list1,
1531,list1,
1241,list1,
1258,list1,
1503,list1,
1209,list1,
1427,list1,
1380,list1,
1556,list1,
1250,list1,
1464,list1,
1184,list1,
1546,list1,
1264,list1,
1443,list1,
1122,list1,
1351,list1,
1361,list1,
1138,list2,
1202,list2,
1502,list2,
1350,list2,
1453,list2,
1394,list2,
1378,list2,
1164,list2,
1457,list2,
1249,list2,
1496,list2,
1274,list2,
1185,list2,
1200,list2,
1537,list2,
1545,list2,
1325,list2,
1530,list2,
1257,list2,
1192,list2,
1300,list2,
1291,list2,
1491,list2,
1156,list2,
1330,list2,
1482,list2,
1233,list2,
1283,list2,
1234,list2,
1120,list2,
1414,list2,
1130,list2,
1442,list2,
1316,list2,
1512,list2,
1146,list2,
1224,list2,
1358,list2,
1171,list2,
1422,list2,
1267,list2,
1387,list2,
1520,list2,
1555,list2,
1341,list2,
1216,list2,
1473,list2,
1368,list2,
1435,list2,
1403,list2,
1247,list4,
1256,list4,
1519,list4,
1290,list4,
1215,list4,
1235,list4,
1527,list4,
1539,list4,
1307,list4,
1451,list4,
1481,list4,
1137,list4,
1393,list4,
1421,list4,
1282,list4,
1329,list4,
1554,list4,
1571,list4,
1153,list4,
1527,list4,
1129,list4,
1472,list4,
1208,list4,
1266,list4,
1199,list4,
1169,list4,
1191,list4,
1298,list4,
1357,list4,
1573,list4,
1490,list4,
1161,list4,
1575,list4,
1402,list4,
1466,list4,
1323,list4,
1223,list4,
1273,list4,
1511,list4,
1441,list4,
1493,list4,
1386,list4,
1145,list4,
1232,list4,
1367,list4,
1340,list4,
1349,list4,
1176,list4,
1377,list4,
1180,list4,
1574,list4,
1471,list8,
1289,list8,
1366,list8,
1265,list8,
1306,list8,
1459,list8,
1348,list8,
1222,list8,
1401,list8,
1553,list8,
1210,list8,
1136,list8,
1463,list8,
1255,list8,
1385,list8,
1536,list8,
1246,list8,
1128,list8,
1167,list8,
1440,list8,
1230,list8,
1479,list8,
1489,list8,
1420,list8,
1376,list8,
1339,list8,
1272,list8,
1518,list8,
1198,list8,
1498,list8,
1501,list8,
1160,list8,
1392,list8,
1299,list8,
1281,list8,
1152,list8,
1322,list8,
1174,list8,
1510,list8,
1207,list8,
1240,list8,
1430,list8,
1452,list8,
1526,list8,
1314,list8,
1190,list8,
1328,list8,
1297,list8,
1412,list8,
1544,list8,
1439,list5,
1384,list5,
1143,list5,
1429,list5,
1507,list5,
1214,list5,
1296,list5,
1206,list5,
1321,list5,
1557,list5,
1371,list5,
1229,list5,
1535,list5,
1338,list5,
1346,list5,
1434,list5,
1391,list5,
1543,list5,
1127,list5,
1313,list5,
1189,list5,
1177,list5,
1197,list5,
1271,list5,
1400,list5,
1279,list5,
1151,list5,
1495,list5,
1565,list5,
1327,list5,
1165,list5,
1305,list5,
1159,list5,
1566,list5,
1239,list5,
1525,list5,
1563,list5,
1409,list5,
1183,list5,
1488,list5,
1263,list5,
1564,list5,
1558,list5,
1355,list5,
1552,list5,
1562,list5,
1478,list5,
1559,list5,
1517,list5,
1419,list5,
1567,list5,
1245,list5,
1135,list5,
1560,list5,
1375,list5,
1254,list5,
1213,list7,
1182,list7,
1461,list7,
1469,list7,
1390,list7,
1411,list7,
1364,list7,
1516,list7,
1150,list7,
1524,list7,
1492,list7,
1175,list7,
1597,list7,
1278,list7,
1426,list7,
1438,list7,
1354,list7,
1126,list7,
1418,list7,
1506,list7,
1383,list7,
1134,list7,
1253,list7,
1326,list7,
1486,list7,
1345,list7,
1285,list7,
1188,list7,
1312,list7,
1399,list7,
1477,list7,
1270,list7,
1304,list7,
1449,list7,
1142,list7,
1205,list7,
1158,list7,
1262,list7,
1295,list7,
1244,list7,
1542,list7,
1166,list7,
1335,list7,
1196,list7,
1374,list7,
1228,list7,
1320,list7,
1534,list7,
1238,list7,
1220,list7,
1548,list3,
1363,list3,
1398,list3,
1124,list3,
1133,list3,
1550,list3,
1181,list3,
1417,list3,
1269,list3,
1580,list3,
1508,list3,
1149,list3,
1497,list3,
1448,list3,
1237,list3,
1336,list3,
1445,list3,
1332,list3,
1572,list3,
1280,list3,
1347,list3,
1515,list3,
1187,list3,
1458,list3,
1582,list3,
1360,list3,
1337,list3,
1261,list3,
1600,list3,
1446,list3,
1576,list3,
1570,list3,
1465,list3,
1173,list3,
1425,list3,
1162,list6,
1131,list6,
1569,list6,
1148,list6,
1416,list6,
1599,list6,
1522,list6,
1236,list6,
1311,list6,
1405,list6,
1211,list6,
1203,list6,
1178,list6,
1397,list6,
1540,list6,
1343,list6,
1302,list6,
1601,list6,
1514,list6,
1549,list6,
1598,list6,
1194,list6,
1331,list6,
1154,list6,
1251,list6,
1372,list6,
1424,list6,
1170,list6,
1408,list6,
1475,list6,
1286,list6,
1268,list6,
1603,list6,
1467,list6,
1140,list6,
1293,list6,
1226,list6,
1318,list6,
1494,list6,
1276,list6,
1485,list6,
1602,list6,
1444,list6,
1581,list6,
1242,list6,
1121,list6,
1334,list6,
1186,list6,
1455,list6,
1579,list6,
1362,list6,
1352,list6,
1218,list6,
